__typename,id,leaderboardSortOrder,player_id,player_firstName,player_lastName,player_amateur,player_displayName,player_abbreviations,player_abbreviationsAccessibilityText,player_country,player_countryFlag,player_shortName,player_lineColor,player_tourBound,scoringData_position,scoringData_total,scoringData_totalSort,scoringData_thru,scoringData_thruSort,scoringData_score,scoringData_scoreSort,scoringData_courseId,scoringData_groupNumber,scoringData_currentRound,scoringData_oddsToWin,scoringData_oddsSwing,scoringData_oddsOptionId,scoringData_oddsSort,scoringData_backNine,scoringData_roundHeader,scoringData_rounds_0,scoringData_rounds_1,scoringData_rounds_2,scoringData_rounds_3,scoringData_movementDirection,scoringData_movementAmount,scoringData_playerState,scoringData_rankingMovement,scoringData_rankingMovementAmount,scoringData_rankingMovementAmountSort,scoringData_totalStrokes,scoringData_official,scoringData_officialSort,scoringData_projected,scoringData_projectedSort,scoringData_hasStoryContent,scoringData_storyContentRound,scoringData_storyContentRounds_0,scoringData_roundStatus
PlayerRowV3,51634,11,51634,Sahith,Theegala,False,Sahith Theegala,,,USA,USA,S. Theegala,#0084FF,False,T8,-6,-6,,0,,10000,1715974380000,671,35,2,+3000,UP,675b241f-39b1-4acc-a4cf-ad35a15f07e4,0.0323,False,R2,65,-,-,-,DOWN,-6,ACTIVE,DOWN,-1,-1,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,65,5,5,6,6,True,1,1,
PlayerRowV3,27349,12,27349,Alex,Noren,False,Alex Noren,,,SWE,SWE,A. Noren,#0084FF,False,T13,-5,-5,F,19,-1,-1,671,4,2,+12500,CONSTANT,4d5441d5-1856-48ad-9b66-e7ad18cc9f7d,0.0079,False,R2,67,70,-,-,DOWN,-1,COMPLETE,UP,+4,4,137,45,45,41,41,True,R2 Completed
PlayerRowV3,55182,13,55182,Tom,Kim,False,Tom Kim,,,KOR,KOR,T. Kim,#0084FF,False,T13,-5,-5,F*,19,E,0,671,19,2,+15000,DOWN,63a90be6-4f09-4436-a12d-ee39ac127499,0.0066,True,R2,66,71,-,-,DOWN,-8,COMPLETE,UP,+15,15,137,82,82,67,67,True,R2 Completed
PlayerRowV3,46442,14,46442,Maverick,McNealy,False,Maverick McNealy,,,USA,USA,M. McNealy,#0084FF,False,T13,-5,-5,16*,16,E,0,671,25,2,+10000,UP,2d49787a-b7bd-4fb6-833b-6cffd1726de6,0.0099,True,R2,66,-,-,-,DOWN,-8,ACTIVE,UP,+9,9,66,67,67,58,58,True,
PlayerRowV3,33448,15,33448,Justin,Thomas,False,Justin Thomas,,,USA,USA,J. Thomas,#0084FF,False,T13,-5,-5,4,4,-3,-3,671,30,2,+6600,DOWN,ade0c830-4685-4c7b-add4-44753be2185f,0.0149,False,R2,69,-,-,-,UP,19,ACTIVE,UP,+5,5,69,24,24,19,19,True,1,1,
PlayerRowV3,28089,16,28089,Jason,Day,False,Jason Day,,,AUS,AUS,J. Day,#0084FF,False,T17,-4,-4,F*,19,-4,-4,671,17,2,+12500,DOWN,cbff8ac4-01bb-477b-bf7f-7c2de7971785,0.0079,True,R2,71,67,-,-,UP,48,COMPLETE,UP,+1,1,138,12,12,11,11,True,1,1,R2 Completed
PlayerRowV3,33204,17,33204,Shane,Lowry,False,Shane Lowry,,,IRL,IRL,S. Lowry,#0084FF,False,T17,-4,-4,F*,19,-2,-2,671,17,2,+10000,CONSTANT,5f8217c2-0f79-4fbc-b970-bc6382e14e29,0.0099,True,R2,69,69,-,-,UP,15,COMPLETE,UP,+2,2,138,16,16,14,14,True,R2 Completed
PlayerRowV3,37378,18,37378,Min Woo,Lee,False,Min Woo Lee,,,AUS,AUS,M. Lee,#0084FF,False,T17,-4,-4,F*,19,-5,-5,671,18,2,+10000,DOWN,d2af8744-6983-434b-b863-31e08a5ecfde,0.0099,True,R2,72,66,-,-,UP,68,COMPLETE,UP,+6,6,138,66,66,60,60,True,R2 Completed
PlayerRowV3,29420,19,29420,Billy,Horschel,False,Billy Horschel,,,USA,USA,B. Horschel,#0084FF,False,T17,-4,-4,F*,19,-2,-2,671,18,2,+40000,DOWN,0737a135-ad61-46b8-8f33-8e949ec381c2,0.0025,True,R2,69,69,-,-,UP,15,COMPLETE,UP,+5,5,138,53,53,48,48,True,R2 Completed
PlayerRowV3,35450,20,35450,Patrick,Cantlay,False,Patrick Cantlay,,,USA,USA,P. Cantlay,#0084FF,False,T17,-4,-4,F*,18,-3,-3,671,23,2,+20000,DOWN,0d350f7a-c900-4300-ad9e-c05d655fe168,0.005,True,R2,70,68,-,-,UP,30,ACTIVE,UP,+1,1,138,13,13,12,12,True,
PlayerRowV3,38991,21,38991,Alejandro,Tosti,False,Alejandro Tosti,,,ARG,ARG,A. Tosti,#0084FF,False,T17,-4,-4,17,17,-1,-1,671,12,2,+40000,UP,947b9f41-6a1c-4327-8c30-185eab5fabc7,0.0025,False,R2,68,-,-,-,UP,1,ACTIVE,UP,+26,26,68,112,112,86,86,True,
PlayerRowV3,33399,22,33399,Adam,Hadwin,False,Adam Hadwin,,,CAN,CAN,A. Hadwin,#0084FF,False,T17,-4,-4,4*,4,-1,-1,671,44,2,+25000,CONSTANT,5909b209-a9ec-4abd-8ab7-b38c8058b972,0.004,True,R2,68,-,-,-,UP,1,ACTIVE,UP,+3,3,68,41,41,38,38,True,1,1,
PlayerRowV3,49947,23,49947,Taylor,Moore,False,Taylor Moore,,,USA,USA,T. Moore,#0084FF,False,T17,-4,-4,,0,,10000,1715976060000,671,51,2,+12500,UP,a867bb68-ff81-4056-b227-fe9bbe16ba31,0.0079,True,R2,67,-,-,-,DOWN,-5,BETWEEN_ROUNDS,UP,+5,5,67,56,56,51,51,True,1,1,
PlayerRowV3,35532,24,35532,Tom,Hoge,False,Tom Hoge,,,USA,USA,T. Hoge,#0084FF,False,T25,-3,-3,F,19,+2,2,671,4,2,+50000,DOWN,73b8c8fb-1ba5-496f-bb1d-b4c37001a99c,0.002,False,R2,66,73,-,-,DOWN,-20,COMPLETE,CONSTANT,-,0,139,25,25,25,25,True,R2 Completed
PlayerRowV3,47483,25,47483,Will,Zalatoris,False,Will Zalatoris,,,USA,USA,W. Zalatoris,#0084FF,False,T25,-3,-3,F*,18,-3,-3,671,23,2,+30000,DOWN,1cc8482f-04eb-4f95-962e-7a719a2740dd,0.0033,True,R2,71,68,-,-,UP,40,ACTIVE,DOWN,-1,-1,139,20,20,21,21,True,1,1,
PlayerRowV3,29535,26,29535,Brice,Garnett,False,Brice Garnett,,,USA,USA,B. Garnett,#0084FF,False,T25,-3,-3,F,18,-4,-4,671,11,2,+100000,DOWN,c597e945-e916-4b0b-90f6-0b3a4c0fcd40,0.001,False,R2,72,67,-,-,UP,60,ACTIVE,UP,+2,2,139,64,64,62,62,True,
PlayerRowV3,57586,27,57586,Jesper,Svensson,False,Jesper Svensson,,,SWE,SWE,J. Svensson,#0084FF,False,T25,-3,-3,F,18,E,0,671,11,2,+50000,CONSTANT,62f5977e-e5c0-4024-8125-53e399a16564,0.002,False,R2,68,71,-,-,DOWN,-7,ACTIVE,CONSTANT,-,-9999,139,-,9999,-,9999,True,
PlayerRowV3,34360,28,34360,Patrick,Reed,False,Patrick Reed,,,USA,USA,P. Reed,#0084FF,False,T25,-3,-3,17*,17,-1,-1,671,24,2,+20000,DOWN,fd6f30c6-7dfc-4bab-950b-36eafb599cda,0.005,True,R2,69,-,-,-,UP,7,ACTIVE,CONSTANT,-,-9999,69,-,9999,-,9999,True,
PlayerRowV3,48887,29,48887,Matt,Wallace,False,Matt Wallace,,,ENG,ENG,M. Wallace,#0084FF,False,T25,-3,-3,5*,5,-2,-2,671,42,2,+30000,CONSTANT,f4a1dff0-d26a-4642-98eb-043bc36e9fb8,0.0033,True,R2,70,-,-,-,UP,22,ACTIVE,UP,+10,10,70,102,102,92,92,True,
