player_id,player_firstName,player_lastName,player_amateur,player_displayName,player_country,player_shortName,scoringData_position,scoringData_total,scoringData_thru,scoringData_score,scoringData_courseId,scoringData_groupNumber,scoringData_currentRound,scoringData_rounds_1,scoringData_rounds_2,scoringData_rounds_3,scoringData_rounds_4,scoringData_playerState,scoringData_totalStrokes,scoringData_projected,scoringData_roundStatus,rounds_All_round,rounds_All_displayName,rounds_All_performance_SG:OTT_total,rounds_All_performance_SG:OTT_yearToDate,rounds_All_performance_SG:APP_total,rounds_All_performance_SG:APP_yearToDate,rounds_All_performance_SG:ARG_total,rounds_All_performance_SG:ARG_yearToDate,rounds_All_performance_SG:PUTT_total,rounds_All_performance_SG:PUTT_yearToDate,rounds_All_performance_DA_total,rounds_All_performance_DA_yearToDate,rounds_All_performance_DD_total,rounds_All_performance_DD_yearToDate,rounds_All_performance_GIR_total,rounds_All_performance_GIR_yearToDate,rounds_All_scoring_Eagles_total,rounds_All_scoring_Eagles_yearToDate,rounds_All_scoring_Birdies_total,rounds_All_scoring_Birdies_yearToDate,rounds_All_scoring_Pars_total,rounds_All_scoring_Pars_yearToDate,rounds_All_scoring_Bogeys_total,rounds_All_scoring_Bogeys_yearToDate,rounds_1_round,rounds_1_displayName,rounds_1_courseInfo_courseId,rounds_1_courseInfo_courseName,rounds_1_courseInfo_groupNumber,rounds_1_courseInfo_parTotal,rounds_1_courseInfo_total,rounds_1_courseInfo_scoreToPar,rounds_1_performance_SG:OTT_total,rounds_1_performance_SG:OTT_yearToDate,rounds_1_performance_SG:APP_total,rounds_1_performance_SG:APP_yearToDate,rounds_1_performance_SG:ARG_total,rounds_1_performance_SG:ARG_yearToDate,rounds_1_performance_SG:PUTT_total,rounds_1_performance_SG:PUTT_yearToDate,rounds_1_performance_DA_total,rounds_1_performance_DA_yearToDate,rounds_1_performance_DD_total,rounds_1_performance_DD_yearToDate,rounds_1_performance_GIR_total,rounds_1_performance_GIR_yearToDate,rounds_1_scoring_Eagles_total,rounds_1_scoring_Eagles_yearToDate,rounds_1_scoring_Birdies_total,rounds_1_scoring_Birdies_yearToDate,rounds_1_scoring_Pars_total,rounds_1_scoring_Pars_yearToDate,rounds_1_scoring_Bogeys_total,rounds_1_scoring_Bogeys_yearToDate,rounds_2_round,rounds_2_displayName,rounds_2_courseInfo_courseId,rounds_2_courseInfo_courseName,rounds_2_courseInfo_groupNumber,rounds_2_courseInfo_parTotal,rounds_2_courseInfo_total,rounds_2_courseInfo_scoreToPar,rounds_2_performance_SG:OTT_total,rounds_2_performance_SG:OTT_yearToDate,rounds_2_performance_SG:APP_total,rounds_2_performance_SG:APP_yearToDate,rounds_2_performance_SG:ARG_total,rounds_2_performance_SG:ARG_yearToDate,rounds_2_performance_SG:PUTT_total,rounds_2_performance_SG:PUTT_yearToDate,rounds_2_performance_DA_total,rounds_2_performance_DA_yearToDate,rounds_2_performance_DD_total,rounds_2_performance_DD_yearToDate,rounds_2_performance_GIR_total,rounds_2_performance_GIR_yearToDate,rounds_2_scoring_Eagles_total,rounds_2_scoring_Eagles_yearToDate,rounds_2_scoring_Birdies_total,rounds_2_scoring_Birdies_yearToDate,rounds_2_scoring_Pars_total,rounds_2_scoring_Pars_yearToDate,rounds_2_scoring_Bogeys_total,rounds_2_scoring_Bogeys_yearToDate,rounds_3_round,rounds_3_displayName,rounds_3_courseInfo_courseId,rounds_3_courseInfo_courseName,rounds_3_courseInfo_groupNumber,rounds_3_courseInfo_parTotal,rounds_3_courseInfo_total,rounds_3_courseInfo_scoreToPar,rounds_3_performance_SG:OTT_total,rounds_3_performance_SG:OTT_yearToDate,rounds_3_performance_SG:APP_total,rounds_3_performance_SG:APP_yearToDate,rounds_3_performance_SG:ARG_total,rounds_3_performance_SG:ARG_yearToDate,rounds_3_performance_SG:PUTT_total,rounds_3_performance_SG:PUTT_yearToDate,rounds_3_performance_DA_total,rounds_3_performance_DA_yearToDate,rounds_3_performance_DD_total,rounds_3_performance_DD_yearToDate,rounds_3_performance_GIR_total,rounds_3_performance_GIR_yearToDate,rounds_3_scoring_Eagles_total,rounds_3_scoring_Eagles_yearToDate,rounds_3_scoring_Birdies_total,rounds_3_scoring_Birdies_yearToDate,rounds_3_scoring_Pars_total,rounds_3_scoring_Pars_yearToDate,rounds_3_scoring_Bogeys_total,rounds_3_scoring_Bogeys_yearToDate,rounds_4_round,rounds_4_displayName,rounds_4_courseInfo_courseId,rounds_4_courseInfo_courseName,rounds_4_courseInfo_groupNumber,rounds_4_courseInfo_parTotal,rounds_4_courseInfo_total,rounds_4_courseInfo_scoreToPar,rounds_4_performance_SG:OTT_total,rounds_4_performance_SG:OTT_yearToDate,rounds_4_performance_SG:APP_total,rounds_4_performance_SG:APP_yearToDate,rounds_4_performance_SG:ARG_total,rounds_4_performance_SG:ARG_yearToDate,rounds_4_performance_SG:PUTT_total,rounds_4_performance_SG:PUTT_yearToDate,rounds_4_performance_DA_total,rounds_4_performance_DA_yearToDate,rounds_4_performance_DD_total,rounds_4_performance_DD_yearToDate,rounds_4_performance_GIR_total,rounds_4_performance_GIR_yearToDate,rounds_4_scoring_Eagles_total,rounds_4_scoring_Eagles_yearToDate,rounds_4_scoring_Birdies_total,rounds_4_scoring_Birdies_yearToDate,rounds_4_scoring_Pars_total,rounds_4_scoring_Pars_yearToDate,rounds_4_scoring_Bogeys_total,rounds_4_scoring_Bogeys_yearToDate
28237,Rory,McIlroy,False,Rory McIlroy,NIR,R. McIlroy,1,-17,F,-6,872,1,4,67,68,67,65,COMPLETE,267,4,R4 Completed,-1,All,6.117,0.908,6.253,0.394,3.274,0.078,4.282,0.167,51.79% (29/56),68.57%,337.00 yds,317.5,68.06% (49/72),66.24%,3,5,18,171,45,-,5,-,1,Round 1,872,Quail Hollow Club,10,71,67,-4,0.824,0.908,2.925,0.394,0.247,0.078,0.005,0.167,42.86% (6/14),68.57%,343.80 yds,317.5,66.67% (12/18),66.24%,1,5,6,171,7,-,4,-,2,Round 2,872,Quail Hollow Club,15,71,68,-3,1.574,0.908,0.707,0.394,0.719,0.078,-0.088,0.167,50.00% (7/14),68.57%,341.50 yds,317.5,72.22% (13/18),66.24%,,,3,171,15,-,,,3,Round 3,872,Quail Hollow Club,1,71,67,-4,2.992,0.908,1.498,0.394,0.890,0.078,0.459,0.167,78.57% (11/14),68.57%,337.60 yds,317.5,66.67% (12/18),66.24%,,,4,171,14,-,,,4,Round 4,872,Quail Hollow Club,1,71,65,-6,0.728,0.908,1.123,0.394,1.419,0.078,3.907,0.167,35.71% (5/14),68.57%,325.00 yds,317.5,66.67% (12/18),66.24%,2,5,5,171,9,-,1,-
48081,Xander,Schauffele,False,Xander Schauffele,USA,X. Schauffele,2,-12,F,E,872,1,4,64,67,70,71,COMPLETE,272,2,R4 Completed,-1,All,5.656,0.796,7.479,0.794,0.859,0.277,0.932,0.398,66.07% (37/56),68.32%,317.60 yds,305.1,70.83% (51/72),70.41%,2,10,15,211,48,-,7,-,1,Round 1,872,Quail Hollow Club,15,71,64,-7,0.175,0.796,3.681,0.794,2.429,0.277,0.716,0.398,57.14% (8/14),68.32%,317.80 yds,305.1,72.22% (13/18),70.41%,1,10,6,211,10,-,1,-,2,Round 2,872,Quail Hollow Club,8,71,67,-4,1.423,0.796,1.994,0.794,0.175,0.277,0.320,0.398,50.00% (7/14),68.32%,315.50 yds,305.1,83.33% (15/18),70.41%,,,5,211,12,-,1,-,3,Round 3,872,Quail Hollow Club,1,71,70,-1,1.991,0.796,-0.291,0.794,-0.534,0.277,1.673,0.398,78.57% (11/14),68.32%,311.70 yds,305.1,55.56% (10/18),70.41%,,,2,211,15,-,1,-,4,Round 4,872,Quail Hollow Club,1,71,71,E,2.068,0.796,2.095,0.794,-1.210,0.277,-1.776,0.398,78.57% (11/14),68.32%,325.60 yds,305.1,72.22% (13/18),70.41%,1,10,2,211,11,-,4,-
33948,Byeong Hun,An,False,Byeong Hun An,KOR,B. An,3,-9,F,-5,872,4,4,70,68,71,66,COMPLETE,275,6,R4 Completed,-1,All,2.161,0.476,3.136,0.259,-1.359,0.029,7.988,0.063,58.93% (33/56),61.33%,324.20 yds,314.1,66.67% (48/72),70.26%,,,23,239,37,-,10,-,1,Round 1,872,Quail Hollow Club,6,71,70,-1,-1.795,0.476,0.204,0.259,0.112,0.029,2.480,0.063,64.29% (9/14),61.33%,325.10 yds,314.1,61.11% (11/18),70.26%,,,7,239,6,-,4,-,2,Round 2,872,Quail Hollow Club,23,71,68,-3,1.974,0.476,2.008,0.259,-0.251,0.029,-0.819,0.063,50.00% (7/14),61.33%,320.80 yds,314.1,72.22% (13/18),70.26%,,,6,239,9,-,3,-,3,Round 3,872,Quail Hollow Club,6,71,71,E,1.062,0.476,-0.647,0.259,-0.668,0.029,2.092,0.063,50.00% (7/14),61.33%,325.40 yds,314.1,50.00% (9/18),70.26%,,,3,239,13,-,1,-,4,Round 4,872,Quail Hollow Club,4,71,66,-5,0.921,0.476,1.571,0.259,-0.551,0.029,4.236,0.063,71.43% (10/14),61.33%,325.50 yds,314.1,83.33% (15/18),70.26%,,,7,239,9,-,2,-
28089,Jason,Day,False,Jason Day,AUS,J. Day,T4,-6,F,-1,872,3,4,68,67,73,70,COMPLETE,278,12,R4 Completed,-1,All,0.106,0.205,0.141,-0.401,4.989,0.414,3.690,0.552,57.14% (32/56),65.88%,311.00 yds,302.5,59.72% (43/72),63.31%,1,6,17,200,41,-,13,-,1,Round 1,872,Quail Hollow Club,14,71,68,-3,0.062,0.205,-0.667,-0.401,2.179,0.414,1.427,0.552,57.14% (8/14),65.88%,309.90 yds,302.5,55.56% (10/18),63.31%,1,6,3,200,12,-,2,-,2,Round 2,872,Quail Hollow Club,7,71,67,-4,-0.150,0.205,2.292,-0.401,2.130,0.414,-0.360,0.552,64.29% (9/14),65.88%,306.80 yds,302.5,72.22% (13/18),63.31%,,,6,200,10,-,2,-,3,Round 3,872,Quail Hollow Club,2,71,73,+2,0.566,0.205,-0.340,-0.401,-1.566,0.414,1.179,0.552,64.29% (9/14),65.88%,317.30 yds,302.5,50.00% (9/18),63.31%,,,3,200,10,-,5,-,4,Round 4,872,Quail Hollow Club,3,71,70,-1,-0.371,0.205,-1.144,-0.401,2.247,0.414,1.445,0.552,42.86% (6/14),65.88%,310.20 yds,302.5,61.11% (11/18),63.31%,,,5,200,9,-,4,-
39971,Sungjae,Im,False,Sungjae Im,KOR,S. Im,T4,-6,F,+2,872,2,4,68,68,69,73,COMPLETE,278,27,R4 Completed,-1,All,1.280,0.371,0.465,-0.193,1.123,0.131,6.058,-0.117,76.79% (43/56),67.15%,303.50 yds,292.7,62.50% (45/72),62.74%,,,18,184,42,-,12,-,1,Round 1,872,Quail Hollow Club,2,71,68,-3,1.492,0.371,0.113,-0.193,0.185,0.131,1.211,-0.117,92.86% (13/14),67.15%,298.80 yds,292.7,72.22% (13/18),62.74%,,,5,184,11,-,2,-,2,Round 2,872,Quail Hollow Club,19,71,68,-3,-0.262,0.371,0.632,-0.193,-0.216,0.131,2.758,-0.117,78.57% (11/14),67.15%,307.00 yds,292.7,66.67% (12/18),62.74%,,,6,184,9,-,3,-,3,Round 3,872,Quail Hollow Club,3,71,69,-2,-0.025,0.371,-0.983,-0.193,1.873,0.131,2.974,-0.117,71.43% (10/14),67.15%,311.20 yds,292.7,44.44% (8/18),62.74%,,,5,184,10,-,3,-,4,Round 4,872,Quail Hollow Club,2,71,73,+2,0.076,0.371,0.703,-0.193,-0.718,0.131,-0.884,-0.117,64.29% (9/14),67.15%,297.20 yds,292.7,66.67% (12/18),62.74%,,,2,184,12,-,4,-
35506,Mackenzie,Hughes,False,Mackenzie Hughes,CAN,M. Hughes,T6,-5,F,-5,872,12,4,73,71,69,66,COMPLETE,279,40,R4 Completed,-1,All,0.559,-0.095,-0.196,-0.339,1.026,0.444,6.537,0.500,66.07% (37/56),56.29%,312.30 yds,296.4,55.56% (40/72),61.94%,1,10,15,174,45,-,10,-,1,Round 1,872,Quail Hollow Club,4,71,73,+2,0.238,-0.095,-0.480,-0.339,0.073,0.444,-1.830,0.500,85.71% (12/14),56.29%,316.60 yds,296.4,50.00% (9/18),61.94%,,,3,174,10,-,5,-,2,Round 2,872,Quail Hollow Club,21,71,71,E,-1.985,-0.095,-0.980,-0.339,-0.015,0.444,2.892,0.500,28.57% (4/14),56.29%,309.10 yds,296.4,33.33% (6/18),61.94%,1,10,2,174,12,-,2,-,3,Round 3,872,Quail Hollow Club,25,71,69,-2,1.182,-0.095,1.077,-0.339,-0.128,0.444,1.708,0.500,78.57% (11/14),56.29%,300.10 yds,296.4,61.11% (11/18),61.94%,,,4,174,12,-,2,-,4,Round 4,872,Quail Hollow Club,12,71,66,-5,1.125,-0.095,0.187,-0.339,1.097,0.444,3.768,0.500,71.43% (10/14),56.29%,323.70 yds,296.4,77.78% (14/18),61.94%,,,6,174,11,-,1,-
47993,Denny,McCarthy,False,Denny McCarthy,USA,D. McCarthy,T6,-5,F,-2,872,6,4,70,71,69,69,COMPLETE,279,32,R4 Completed,-1,All,0.143,-0.334,-0.693,-0.027,3.556,0.388,4.920,0.739,60.71% (34/56),66.34%,297.90 yds,287.3,54.17% (39/72),61.70%,1,3,12,191,50,-,9,-,1,Round 1,872,Quail Hollow Club,2,71,70,-1,0.537,-0.334,-1.697,-0.027,-0.301,0.388,2.462,0.739,64.29% (9/14),66.34%,303.50 yds,287.3,50.00% (9/18),61.70%,,,4,191,11,-,3,-,2,Round 2,872,Quail Hollow Club,19,71,71,E,-0.595,-0.334,-0.582,-0.027,-0.701,0.388,1.790,0.739,50.00% (7/14),66.34%,300.10 yds,287.3,50.00% (9/18),61.70%,,,2,191,14,-,2,-,3,Round 3,872,Quail Hollow Club,15,71,69,-2,0.300,-0.334,1.636,-0.027,0.686,0.388,1.217,0.739,64.29% (9/14),66.34%,285.90 yds,287.3,66.67% (12/18),61.70%,,,3,191,14,-,1,-,4,Round 4,872,Quail Hollow Club,6,71,69,-2,-0.098,-0.334,-0.050,-0.027,3.873,0.388,-0.548,0.739,64.29% (9/14),66.34%,302.30 yds,287.3,50.00% (9/18),61.70%,1,3,3,191,11,-,3,-
39977,Max,Homa,False,Max Homa,USA,M. Homa,T8,-4,F,-2,872,8,4,69,70,72,69,COMPLETE,280,15,R4 Completed,-1,All,-0.155,-0.078,2.317,0.292,3.604,0.331,1.160,0.136,48.21% (27/56),61.94%,317.30 yds,300.8,58.33% (42/72),65.80%,1,4,17,187,41,-,11,-,1,Round 1,872,Quail Hollow Club,10,71,69,-2,0.829,-0.078,-1.190,0.292,0.991,0.331,1.371,0.136,50.00% (7/14),61.94%,321.70 yds,300.8,61.11% (11/18),65.80%,,,6,187,8,-,4,-,2,Round 2,872,Quail Hollow Club,15,71,70,-1,0.095,-0.078,1.738,0.292,1.093,0.331,-2.014,0.136,50.00% (7/14),61.94%,319.90 yds,300.8,72.22% (13/18),65.80%,,,5,187,9,-,4,-,3,Round 3,872,Quail Hollow Club,8,71,72,+1,-1.455,-0.078,-1.036,0.292,2.117,0.331,1.213,0.136,35.71% (5/14),61.94%,312.40 yds,300.8,44.44% (8/18),65.80%,,,3,187,12,-,2,-,4,Round 4,872,Quail Hollow Club,8,71,69,-2,0.377,-0.078,2.805,0.292,-0.596,0.331,0.591,0.136,57.14% (8/14),61.94%,315.30 yds,300.8,55.56% (10/18),65.80%,1,4,3,187,12,-,1,-
49960,Sepp,Straka,False,Sepp Straka,AUT,S. Straka,T8,-4,F,+3,872,2,4,68,71,67,74,COMPLETE,280,22,R4 Completed,-1,All,1.852,0.282,4.708,0.216,-2.326,-0.325,2.692,-0.018,66.07% (37/56),78.02%,298.70 yds,291.2,59.72% (43/72),67.87%,,,17,139,43,-,11,-,1,Round 1,872,Quail Hollow Club,4,71,68,-3,0.250,0.282,2.129,0.216,0.760,-0.325,-0.138,-0.018,71.43% (10/14),78.02%,294.00 yds,291.2,55.56% (10/18),67.87%,,,5,139,11,-,2,-,2,Round 2,872,Quail Hollow Club,21,71,71,E,0.497,0.282,-0.379,0.216,-1.073,-0.325,0.867,-0.018,71.43% (10/14),78.02%,301.70 yds,291.2,55.56% (10/18),67.87%,,,3,139,12,-,3,-,3,Round 3,872,Quail Hollow Club,9,71,67,-4,1.263,0.282,1.890,0.216,-0.551,-0.325,3.237,-0.018,71.43% (10/14),78.02%,295.10 yds,291.2,66.67% (12/18),67.87%,,,7,139,8,-,3,-,4,Round 4,872,Quail Hollow Club,2,71,74,+3,-0.157,0.282,1.068,0.216,-1.461,-0.325,-1.273,-0.018,50.00% (7/14),78.02%,304.00 yds,291.2,61.11% (11/18),67.87%,,,2,139,12,-,3,-
34098,Russell,Henley,False,Russell Henley,USA,R. Henley,T10,-3,F,-4,872,15,4,68,73,73,67,COMPLETE,281,19,R4 Completed,-1,All,-2.362,-0.011,4.399,0.380,1.874,0.377,2.015,0.306,73.21% (41/56),74.05%,297.20 yds,287.3,59.72% (43/72),65.19%,,,16,179,44,-,11,-,1,Round 1,872,Quail Hollow Club,6,71,68,-3,-1.652,-0.011,2.839,0.380,0.865,0.377,0.949,0.306,71.43% (10/14),74.05%,296.40 yds,287.3,66.67% (12/18),65.19%,,,5,179,11,-,2,-,2,Round 2,872,Quail Hollow Club,23,71,73,+2,0.580,-0.011,-1.105,0.380,0.852,0.377,-2.415,0.306,85.71% (12/14),74.05%,296.00 yds,287.3,61.11% (11/18),65.19%,,,2,179,12,-,4,-,3,Round 3,872,Quail Hollow Club,16,71,73,+2,-0.900,-0.011,-0.253,0.380,-0.088,0.377,1.080,0.306,71.43% (10/14),74.05%,289.90 yds,287.3,50.00% (9/18),65.19%,,,4,179,9,-,4,-,4,Round 4,872,Quail Hollow Club,15,71,67,-4,-0.389,-0.011,2.918,0.380,0.246,0.377,2.402,0.306,64.29% (9/14),74.05%,306.70 yds,287.3,61.11% (11/18),65.19%,,,5,179,12,-,1,-
